tweet_id	date	retweet	Additive Manufacturing	Artificial Intelligence	CryptoCurrencies	Computing Infrastructure	Digital Health	Internet of Things	Quantum Computing	Robotics	Autonomous Vehicles	Hashtags	lat	lon	Country	Sentiment Score	Sentiment	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	URLs	followers	friends	statuses
37	Thu Oct 11 11:34:52 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://ift.tt/2PsMCD8	133	78	1626
38	Mon Oct 15 20:24:49 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.4404	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1760	592	2402
39	Mon Oct 15 20:38:08 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.7506	POS	0.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	https://bit.ly/2nPWZ7M	506	475	1787
40	Thu Oct 11 07:00:40 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum	Null	Null	France	0.4404	POS	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	https://ift.tt/2OSGiaM	133	78	1626
41	Mon Oct 15 20:24:38 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	348	630	1097
42	Mon Oct 15 20:23:17 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null		0.8126	POS	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	None	3050	4477	8369
43	Thu Oct 11 06:04:01 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	@Trading_365	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	5711	6215	121842
44	Mon Oct 15 20:37:55 +0000 2018	1	0	0	0	0	0	0	1	0	0	#Digitalhealth;#healthIT;#DigitalHealth;digitalhealth	Null	Null	Global	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://mailchi.mp/pulseitmagazine/16october2018	4154	123	213926
45	Mon Oct 15 20:12:36 +0000 2018	1	0	0	0	0	0	0	0	1	0	Blockchain	Null	Null		0.7574	POS	0.0	0.5	0.0	0.0	0.5	0.0	0.5	0.0	0.5	0.5	None	191	326	1289
46	Mon Oct 15 20:24:24 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Cataluña, España	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	504	479	2711
47	Mon Oct 15 20:24:14 +0000 2018	0	0	0	0	0	0	0	1	0	0	#healthcare	Null	Null	Barcelona	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://lnkd.in/dwXK66M	2153	1191	8396
48	Mon Oct 15 20:37:00 +0000 2018	0	0	0	0	0	0	0	1	0	0	#Digitalhealth;#DigitalHealth;digitalhealth	Null	Null	Cranbury, NJ	0.5423	POS	0.0	0.0	0.0	0.125	0.0	0.125	0.625	0.125	0.0	0.0	https://www.hcanews.com/news/podcast-is-anyone-obligated-to-incite-healthcare-innovation	1865	288	17861
49	Mon Oct 15 20:00:33 +0000 2018	0	0	0	0	0	0	0	0	1	0	#blockchains;#blockchain;#Blockchain;Blockchain;#Blockchain	Null	Null	Nevada	0.4215	POS	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	http://buz.to/hFnSip	1172	1455	2476
